[14:45:38] [INFO] received Windows console close event; shutting log-core down
[14:49:02] [INFO] received Windows console close event; shutting log-core down
[14:58:36] [INFO] received Windows console close event; shutting log-core down
[14:59:55] [INFO] received Windows console close event; shutting log-core down
[15:06:42] [INFO] received Windows console close event; shutting log-core down
[15:10:14] [INFO] received Windows console close event; shutting log-core down
[15:16:08] [INFO] received Windows console close event; shutting log-core down
[15:17:53] [INFO] received Windows console close event; shutting log-core down
[15:20:32] [INFO] received Windows console close event; shutting log-core down
[15:22:24] [INFO] received Windows console close event; shutting log-core down
[22:50:46] [INFO] received Windows console close event; shutting log-core down
[22:56:22] [INFO] received Windows console close event; shutting log-core down
[22:58:59] [INFO] received Windows console close event; shutting log-core down
[23:01:12] [INFO] received Windows console close event; shutting log-core down
[23:07:44] [INFO] received Windows console close event; shutting log-core down
[23:09:34] [INFO] received Windows console close event; shutting log-core down
[23:11:49] [INFO] received Windows console close event; shutting log-core down
[23:15:17] [INFO] received Windows console close event; shutting log-core down
[23:18:11] [INFO] received Windows console close event; shutting log-core down
[23:20:03] [INFO] received Windows console close event; shutting log-core down
[23:24:00] [INFO] received Windows console close event; shutting log-core down
[23:28:04] [INFO] received Windows console close event; shutting log-core down
[23:28:38] [INFO] received Windows console close event; shutting log-core down
[23:30:42] [INFO] received Windows console close event; shutting log-core down
[23:33:29] [INFO] received Windows console close event; shutting log-core down
[23:36:55] [INFO] received Windows console close event; shutting log-core down
[23:46:14] [INFO] received Windows console close event; shutting log-core down
